"Species","Longitude","Latitude"
"Aeshna caerulea",14.42496578,65.15517076
"Aeshna caerulea",20.42056281,63.82976131
"Aeshna caerulea",19.60931808,63.58715153
"Aeshna cyanea",14.29279325,57.84280736
"Aeshna cyanea",18.99527312,57.84525552
"Aeshna cyanea",13.36438626,59.5181576
"Aeshna cyanea",17.66289716,58.84339774
"Aeshna cyanea",14.83886922,59.45093765
"Aeshna cyanea",14.46537511,59.30964396
"Aeshna cyanea",15.02360971,60.74935386
"Aeshna cyanea",11.77842859,57.97129127
"Aeshna cyanea",15.01755509,57.08506356
"Aeshna cyanea",16.74941508,58.16304662
"Aeshna cyanea",11.91762005,57.4833772
"Aeshna cyanea",16.28216646,58.93234473
"Aeshna cyanea",16.43761327,58.78184928
"Aeshna cyanea",13.42222105,57.7439266
"Aeshna cyanea",17.12320715,62.19695167
"Aeshna cyanea",17.78043407,59.73255841
"Aeshna cyanea",15.2104151,60.11414509
"Aeshna cyanea",17.89911658,60.1961716
"Aeshna cyanea",12.8047806,55.92884437
"Aeshna cyanea",14.8355148,58.02428753
"Aeshna cyanea",16.44409267,59.05042236
"Aeshna cyanea",14.25611659,56.00408581
"Aeshna cyanea",17.89227522,60.58764482
"Aeshna cyanea",12.60789033,59.32773784
"Aeshna cyanea",16.85216678,59.5459624
"Aeshna cyanea",13.1105512,55.9233374
"Aeshna cyanea",16.09358758,60.12861749
"Aeshna cyanea",15.81550706,60.17345411
"Aeshna cyanea",12.64261008,56.43412078
"Aeshna cyanea",16.36568358,56.72869613
"Aeshna cyanea",16.7227223,59.18044377
"Aeshna cyanea",18.54002769,57.65456648
"Aeshna cyanea",16.77370423,56.85830373
"Aeshna cyanea",17.89444819,59.23577327
"Aeshna cyanea",15.55538067,58.29332547
"Aeshna cyanea",15.37651226,57.92788045
"Aeshna cyanea",15.71784271,60.46405565
"Aeshna cyanea",15.45033614,60.6594442
"Aeshna cyanea",14.66064733,57.66464769
"Aeshna cyanea",16.15535698,58.53217591
"Aeshna cyanea",14.86350955,58.13700818
"Aeshna cyanea",16.0697656,56.43448975
"Aeshna cyanea",15.93028539,56.60847827
"Aeshna cyanea",17.1959099,60.74183407
"Aeshna cyanea",14.91813167,58.36375314
"Aeshna cyanea",15.53437302,58.00813723
"Aeshna cyanea",18.07603916,59.72275619
"Aeshna cyanea",15.70431353,58.20994864
"Aeshna cyanea",13.5944079,56.72023787
"Aeshna cyanea",15.52829082,59.90845529
"Aeshna cyanea",15.97517907,56.24078081
"Aeshna cyanea",16.99934528,58.88166306
"Aeshna cyanea",18.68487302,57.22650513
"Aeshna cyanea",18.49143804,60.29587141
"Aeshna cyanea",12.48258728,59.04798911
"Aeshna cyanea",15.26200896,59.89616129
"Aeshna cyanea",16.32380403,56.81733353
"Aeshna cyanea",18.07617581,60.23232659
"Aeshna cyanea",13.66650378,56.39366759
"Aeshna cyanea",13.31361412,55.56868491
"Aeshna cyanea",17.83606103,59.1435826
"Aeshna cyanea",13.75545393,55.9886915
"Aeshna cyanea",16.43866464,56.44114824
"Aeshna cyanea",14.16541395,59.75016276
"Aeshna cyanea",16.63773248,58.48049678
"Aeshna cyanea",17.80306222,60.0756447
"Aeshna cyanea",16.29893706,58.71996965
"Aeshna cyanea",18.47149248,59.40706693
"Aeshna cyanea",16.90721164,58.33237799
"Aeshna cyanea",18.36756645,57.14735931
"Aeshna cyanea",18.15500119,57.22279611
