Species,Longitude,Latitude
Aeshna caerulea,23.09872792,68.08176139
Aeshna caerulea,23.20997132,67.58958925
Aeshna caerulea,22.5797115,67.45946511
Aeshna caerulea,21.84776554,67.61832663
Aeshna caerulea,19.41625199,65.47789322
Aeshna caerulea,19.4142771,65.46684856
Aeshna caerulea,19.75776634,65.41067313
Aeshna caerulea,21.6718246,65.70630751
Aeshna caerulea,23.25997437,67.90937833
Aeshna caerulea,14.63668934,64.92260098
Aeshna caerulea,19.02191457,67.85189146
Aeshna caerulea,14.95344085,59.37227345
Aeshna caerulea,16.35607687,64.12642289
Aeshna caerulea,19.02831776,64.45488749
Aeshna caerulea,12.76505212,62.64332058
Aeshna caerulea,14.51881654,59.05231721
Aeshna caerulea,23.49321615,67.66129789
Aeshna caerulea,18.29675671,68.42182518
Aeshna caerulea,18.2355095,68.42767286
Aeshna caerulea,20.97810407,67.06640446
Aeshna caerulea,14.16556066,64.35208981
Aeshna caerulea,19.50098458,65.7753495
Aeshna caerulea,21.4880443,65.41075602
Aeshna caerulea,20.91142861,64.79699809
Aeshna caerulea,22.69708004,65.80492224
Aeshna caerulea,21.42140017,67.73577477
Aeshna caerulea,21.97384351,65.56938811
Aeshna caerulea,18.67662834,64.57731455
Aeshna caerulea,20.70099368,63.81108002
Aeshna caerulea,18.57483232,63.4758861
Aeshna caerulea,21.69506484,65.90546836
Aeshna caerulea,15.5965453,62.72219728
Aeshna caerulea,20.78943913,66.26004676
Aeshna caerulea,23.76486374,65.56580907
Aeshna caerulea,22.10777606,65.63849611
Aeshna caerulea,21.6500269,65.26604793
Aeshna caerulea,13.11608683,61.58529323
Aeshna caerulea,15.25070148,65.69991202
Aeshna caerulea,16.00575975,64.14059691
Aeshna caerulea,20.91099761,63.7381367
Aeshna caerulea,12.64053065,62.63158932
Aeshna caerulea,20.92709136,63.74451466
Aeshna caerulea,20.28834549,67.06800043
Aeshna caerulea,20.37458762,67.11685658
Aeshna caerulea,21.62158569,65.28920521
Aeshna caerulea,20.87043439,67.14906186
